transaction_id,user_id,amount,timestamp,location,device_type,user_age_days,transaction_count_last_1_day,transaction_count_last_1_hour,average_amount_last_7_days,is_kyc_verified,location_distance_from_home_km,is_foreign_device,previous_fraud_count,label
f53ae382-0a93-41ea-b2d6-26b3abe88ebd,USR0930,40202.09,2025-08-30T13:12:05.794185,Hyderabad,Android,602,8,1,20025.01,False,304.63,False,3,0
0d805cba-704a-46f3-ae56-48e7cbff352a,USR0418,4796.59,2025-08-20T18:49:05.794213,Delhi,Android,193,29,3,44287.84,True,378.01,False,4,0
14b32c59-bcde-4382-abdd-52e7e66298cc,USR0478,94985.58,2025-08-25T17:48:05.794228,Hyderabad,iOS,516,29,3,17489.56,True,188.66,True,0,0
1beba633-81a9-4852-b4aa-f6d2c66c78e0,USR0934,44433.91,2025-08-17T18:59:05.794238,Chennai,Web,285,34,1,27704.81,False,122.35,False,1,0
2d25818d-aece-44d0-97ff-e84e75177c80,USR0317,54842.06,2025-08-22T20:50:05.794247,Mumbai,Web,377,29,4,9556.8,False,143.91,True,3,0
fff37e3e-15b7-496c-a8a6-d38fa4020d45,USR0900,33974.39,2025-08-31T20:11:05.794255,Bangalore,iOS,450,25,9,30455.89,True,327.25,True,4,1
4475eef6-c0e9-4cf1-8793-5f577a245e92,USR0507,76258.26,2025-09-04T10:48:05.794263,Bangalore,Android,534,49,7,45847.88,True,120.22,True,2,0
62e97fef-eb42-48ae-8d8a-669bb08e63f0,USR0627,51872.67,2025-09-11T11:02:05.794271,Chennai,Web,781,46,0,45779.45,True,183.36,False,0,0
5c70950c-26fe-451a-94ff-acfcffb49d3b,USR0475,75279.58,2025-08-28T22:24:05.794279,Mumbai,Web,550,17,9,39923.44,False,92.17,False,3,0
33af7516-30e1-4ce0-90f5-162aa37f3ad7,USR0576,83642.46,2025-08-19T22:58:05.794287,Mumbai,Web,947,40,10,33652.15,False,285.72,True,1,0
8f0b61f5-4e49-487f-b2c5-b841841bfcfe,USR0885,64676.94,2025-08-24T11:00:05.794294,Delhi,Web,340,37,1,31783.79,True,1.03,True,1,0
6c899a3c-5be6-41b5-b870-316dbd7542bf,USR0644,53765.92,2025-09-06T16:40:05.794302,Bangalore,Android,701,12,5,17739.84,False,48.68,True,0,0
1e3d7d16-9f07-4ded-9f64-2e9bb8deb412,USR0427,63067.11,2025-08-25T09:59:05.794309,Delhi,Web,314,28,8,19130.9,True,435.22,True,4,0
1d60c4ef-7fd7-4ef9-8cf2-e55b87cdedbb,USR0490,10973.73,2025-09-02T18:06:05.794316,Hyderabad,iOS,224,49,10,39858.26,False,49.57,True,5,1
4bef59cb-12fc-45e5-845c-8d689a0397c4,USR0017,84931.05,2025-08-27T23:03:05.794324,Chennai,iOS,571,49,6,9816.48,True,58.28,True,0,0
31e98aba-fb7c-4c0e-a890-b5fc1d1ec6cd,USR0321,33903.63,2025-08-25T12:50:05.794331,Hyderabad,Android,736,9,1,40042.72,False,434.91,False,1,0
c4d9de7d-5214-418d-a649-db86853b86f0,USR0235,30927.07,2025-08-31T23:12:05.794338,Hyderabad,iOS,935,43,4,11441.82,False,244.05,False,1,0
c148b7c9-4724-4551-803b-1976bfa9e07e,USR0425,79647.99,2025-09-11T18:13:05.794346,Hyderabad,Web,787,27,0,43415.74,False,76.54,False,0,0
0fbdee36-e790-4156-9fee-db245531bc0a,USR0792,30416.98,2025-08-26T20:06:05.794353,Hyderabad,Web,661,29,10,40729.68,True,11.32,True,2,0
9e854ea9-cd30-44ef-85c2-84fa6b648503,USR0309,76966.31,2025-08-29T13:02:05.794360,Mumbai,Web,568,45,2,24226.77,True,43.35,False,3,0
063185ed-e32e-4da7-84bf-ebbb75a6a869,USR0468,78864.49,2025-08-19T23:14:05.794368,Bangalore,iOS,580,49,8,38291.57,False,244.65,True,1,0
318600e8-25ee-4ec5-9623-b72b8cd561a1,USR0141,67611.45,2025-08-19T03:40:05.794375,Hyderabad,Android,905,35,6,9283.78,False,23.96,False,0,0
f1eff5aa-696b-4a05-a174-e56c10dc8c35,USR0573,6206.21,2025-08-22T07:58:05.794382,Mumbai,Web,436,26,1,29263.75,False,296.2,False,2,0
6fb2bd0a-a7e3-42a8-ace5-f4c206e9a963,USR0901,11565.81,2025-09-14T00:11:05.794389,Chennai,Android,746,35,10,20483.31,False,293.65,True,4,0
c5d4ad70-2329-460c-b482-886013a85c1b,USR0368,41839.49,2025-08-15T19:14:05.794396,Mumbai,Web,43,33,3,36379.13,False,45.63,False,4,0
43094f35-41e7-40b8-a71e-3bc559fe4ed5,USR0609,59780.09,2025-08-27T12:49:05.794403,Mumbai,Web,821,27,7,44006.09,False,480.94,True,3,0
1b3cdd1e-a41e-4e55-9103-467150928f14,USR0580,50575.98,2025-08-31T20:15:05.794411,Hyderabad,Android,108,36,7,8664.24,False,229.7,True,5,0
e0e64367-20a2-42ef-8f13-b849d499c978,USR0674,55901.3,2025-09-09T04:11:05.794418,Delhi,Web,913,7,1,16420.98,False,240.44,True,5,0
aeec167c-ec2a-4b9c-bad9-1627bce026cc,USR0067,54306.15,2025-08-30T11:34:05.794426,Hyderabad,Web,994,21,4,43770.2,True,195.47,True,3,0
f6d4054d-1a04-465e-b433-d2498c6e53ee,USR0589,53126.63,2025-09-13T06:36:05.794432,Hyderabad,Android,672,45,1,42184.02,False,402.45,False,1,0
e784ab76-1599-4180-aa27-5044dea3f82d,USR0213,8185.13,2025-08-29T17:17:05.794439,Chennai,Web,148,41,8,2428.74,True,419.03,False,0,0
704ab765-5c1e-4880-a128-8064c22531fa,USR0075,74173.78,2025-08-24T19:33:05.794447,Bangalore,Web,839,35,8,38791.17,True,9.62,True,2,1
d58275f9-885e-4a37-9991-595c310ce341,USR0554,26735.75,2025-09-01T14:18:05.794453,Mumbai,Web,290,23,4,15985.18,True,305.4,False,2,0
21135c82-4e49-40b9-a380-fa1a11aa2c5a,USR0553,96066.33,2025-09-11T23:14:05.794460,Delhi,Android,719,34,4,24503.37,True,326.63,False,4,0
d6dc9c96-27ba-40aa-93a3-818f7f9952bf,USR0790,85535.5,2025-08-16T14:03:05.794468,Mumbai,Web,692,10,8,17201.35,True,449.6,False,3,0
